zip_code,state_code,state_name,city,time_zone
T0A,AB,Alberta,Eastern Alberta,
T0B,AB,Alberta,Wainwright Region,
T0C,AB,Alberta,Central Alberta,
T0E,AB,Alberta,Western Alberta,
T0G,AB,Alberta,North Central Alberta,
T0H,AB,Alberta,Northwestern Alberta,
T0J,AB,Alberta,Southeastern Alberta,
T0K,AB,Alberta,International Border Region,
T0L,AB,Alberta,Kananaskis Country,
T0M,AB,Alberta,Central Foothills,
T0P,AB,Alberta,Northeastern Alberta,
T0V,AB,Alberta,Remote Northeast,
T1A,AB,Alberta,Medicine Hat,
T1B,AB,Alberta,Medicine Hat,
T1C,AB,Alberta,Medicine Hat,
T1G,AB,Alberta,Taber,
T1H,AB,Alberta,Lethbridge,
T1J,AB,Alberta,Lethbridge,
T1K,AB,Alberta,Lethbridge,
T1L,AB,Alberta,Banff,
T1M,AB,Alberta,Coaldale,
T1P,AB,Alberta,Strathmore,
T1R,AB,Alberta,Brooks,
T1S,AB,Alberta,Okotoks,
T1V,AB,Alberta,High River,
T1W,AB,Alberta,Canmore,
T1X,AB,Alberta,Chestermere,
T1Y,AB,Alberta,Calgary,
T1Z,AB,Alberta,Rocky View,
T2A,AB,Alberta,Calgary,
T2B,AB,Alberta,Calgary,
T2C,AB,Alberta,Calgary,
T2E,AB,Alberta,Calgary,
T2G,AB,Alberta,Calgary,
T2H,AB,Alberta,Calgary,
T2J,AB,Alberta,Calgary,
T2K,AB,Alberta,Calgary,
T2L,AB,Alberta,Calgary,
T2M,AB,Alberta,Calgary,
T2N,AB,Alberta,Calgary,
T2P,AB,Alberta,Calgary,
T2R,AB,Alberta,Calgary,
T2S,AB,Alberta,Calgary,
T2T,AB,Alberta,Calgary,
T2V,AB,Alberta,Calgary,
T2W,AB,Alberta,Calgary,
T2X,AB,Alberta,Calgary,
T2Y,AB,Alberta,Calgary,
T2Z,AB,Alberta,Calgary,
T3A,AB,Alberta,Calgary,
T3B,AB,Alberta,Calgary,
T3C,AB,Alberta,Calgary,
T3E,AB,Alberta,Calgary,
T3G,AB,Alberta,Calgary,
T3H,AB,Alberta,Calgary,
T3J,AB,Alberta,Calgary,
T3K,AB,Alberta,Calgary,
T3L,AB,Alberta,Calgary,
T3M,AB,Alberta,Calgary,
T3N,AB,Alberta,Calgary,
T3P,AB,Alberta,Calgary,
T3R,AB,Alberta,Calgary,
T3S,AB,Alberta,Calgary,
T3T,AB,Alberta,Tsuut'ina,
T3Z,AB,Alberta,Redwood Meadows,
T4A,AB,Alberta,Airdrie,
T4B,AB,Alberta,Airdrie,
T4C,AB,Alberta,Cochrane,
T4E,AB,Alberta,Red Deer,
T4G,AB,Alberta,Innisfail,
T4H,AB,Alberta,Olds,
T4J,AB,Alberta,Ponoka,
T4L,AB,Alberta,Lacombe,
T4M,AB,Alberta,Blackfalds,
T4N,AB,Alberta,Red Deer,
T4P,AB,Alberta,Red Deer,
T4R,AB,Alberta,Red Deer,
T4S,AB,Alberta,Sylvan Lake,
T4T,AB,Alberta,Rocky Mountain House,
T4V,AB,Alberta,Camrose,
T4X,AB,Alberta,Beaumont,
T5A,AB,Alberta,Edmonton,
T5B,AB,Alberta,Edmonton,
T5C,AB,Alberta,Edmonton,
T5E,AB,Alberta,Edmonton,
T5G,AB,Alberta,Edmonton,
T5H,AB,Alberta,Edmonton,
T5J,AB,Alberta,Edmonton,
T5K,AB,Alberta,Edmonton,
T5L,AB,Alberta,Edmonton,
T5M,AB,Alberta,Edmonton,
T5N,AB,Alberta,Edmonton,
T5P,AB,Alberta,Edmonton,
T5R,AB,Alberta,Edmonton,
T5S,AB,Alberta,Edmonton,
T5T,AB,Alberta,Edmonton,
T5V,AB,Alberta,Edmonton,
T5W,AB,Alberta,Edmonton,
T5X,AB,Alberta,Edmonton,
T5Y,AB,Alberta,Edmonton,
T5Z,AB,Alberta,Edmonton,
T6A,AB,Alberta,Edmonton,
T6B,AB,Alberta,Edmonton,
T6C,AB,Alberta,Edmonton,
T6E,AB,Alberta,Edmonton,
T6G,AB,Alberta,Edmonton,
T6H,AB,Alberta,Edmonton,
T6J,AB,Alberta,Edmonton,
T6K,AB,Alberta,Edmonton,
T6L,AB,Alberta,Edmonton,
T6M,AB,Alberta,Edmonton,
T6N,AB,Alberta,Edmonton,
T6P,AB,Alberta,Edmonton,
T6R,AB,Alberta,Edmonton,
T6S,AB,Alberta,Edmonton,
T6T,AB,Alberta,Edmonton,
T6V,AB,Alberta,Edmonton,
T6W,AB,Alberta,Edmonton,
T6X,AB,Alberta,Edmonton,
T7A,AB,Alberta,Drayton Valley,
T7E,AB,Alberta,Edson,
T7N,AB,Alberta,Barrhead,
T7P,AB,Alberta,Westlock,
T7S,AB,Alberta,Whitecourt,
T7V,AB,Alberta,Hinton,
T7X,AB,Alberta,Spruce Grove,
T7Y,AB,Alberta,Spruce Grove,
T7Z,AB,Alberta,Stony Plain,
T8A,AB,Alberta,Sherwood Park,
T8B,AB,Alberta,Sherwood Park,
T8C,AB,Alberta,Sherwood Park,
T8E,AB,Alberta,Sherwood Park,
T8G,AB,Alberta,Sherwood Park,
T8H,AB,Alberta,Sherwood Park,
T8L,AB,Alberta,Fort Saskatchewan,
T8N,AB,Alberta,St. Albert,
T8R,AB,Alberta,Morinville,
T8S,AB,Alberta,Peace River,
T8T,AB,Alberta,St. Albert,
T8V,AB,Alberta,Grande Prairie,
T8W,AB,Alberta,Grande Prairie,
T8X,AB,Alberta,Grande Prairie,
T9A,AB,Alberta,Wetaskiwin,
T9C,AB,Alberta,Vegreville,
T9E,AB,Alberta,Leduc,
T9G,AB,Alberta,Devon,
T9H,AB,Alberta,Fort McMurray,
T9J,AB,Alberta,Fort McMurray,
T9K,AB,Alberta,Fort McMurray,
T9M,AB,Alberta,Cold Lake,
T9N,AB,Alberta,Bonnyville,
T9S,AB,Alberta,Athabasca,
T9V,AB,Alberta,Lloydminster,
T9W,AB,Alberta,Wainwright,
T9X,AB,Alberta,Vermilion,
V5K,BC,British Columbia,Vancouver,
V5L,BC,British Columbia,Vancouver,
V5M,BC,British Columbia,Vancouver,
V5N,BC,British Columbia,Vancouver,
V5P,BC,British Columbia,Vancouver,
V5R,BC,British Columbia,Vancouver,
V5S,BC,British Columbia,Vancouver,
V5T,BC,British Columbia,Vancouver,
V5V,BC,British Columbia,Vancouver,
V5W,BC,British Columbia,Vancouver,
V5X,BC,British Columbia,Vancouver,
V5Y,BC,British Columbia,Vancouver,
V5Z,BC,British Columbia,Vancouver,
V6A,BC,British Columbia,Vancouver,
V6B,BC,British Columbia,Vancouver,
V6C,BC,British Columbia,Vancouver,
V6E,BC,British Columbia,Vancouver,
V6G,BC,British Columbia,Vancouver,
V6H,BC,British Columbia,Vancouver,
V6J,BC,British Columbia,Vancouver,
V6K,BC,British Columbia,Vancouver,
V6L,BC,British Columbia,Vancouver,
V6M,BC,British Columbia,Vancouver,
V6N,BC,British Columbia,Vancouver,
V6P,BC,British Columbia,Vancouver,
V6R,BC,British Columbia,Vancouver,
V6S,BC,British Columbia,Vancouver,
V6T,BC,British Columbia,Vancouver,
V6Z,BC,British Columbia,Vancouver,
V7G,BC,British Columbia,Vancouver,
V7H,BC,British Columbia,Vancouver,
V7J,BC,British Columbia,Vancouver,
V7K,BC,British Columbia,Vancouver,
V7L,BC,British Columbia,Vancouver,
V7M,BC,British Columbia,Vancouver,
V7N,BC,British Columbia,Vancouver,
V7P,BC,British Columbia,Vancouver,
V7R,BC,British Columbia,Vancouver,
V7S,BC,British Columbia,Vancouver,
V7T,BC,British Columbia,Vancouver,
V7V,BC,British Columbia,Vancouver,
V7W,BC,British Columbia,Vancouver,
V7X,BC,British Columbia,Vancouver,
V7Y,BC,British Columbia,Vancouver,
V0A,BC,British Columbia,Upper Columbia Region,
V0B,BC,British Columbia,East Kootenays,
V0C,BC,British Columbia,Northern British Columbia,
V0E,BC,British Columbia,Central Okanagan and High Country,
V0G,BC,British Columbia,West Kootenays,
V0H,BC,British Columbia,South Okanagan,
V0J,BC,British Columbia,Omineca and Yellowhead,
V0K,BC,British Columbia,Cariboo and West Okanagan,
V0L,BC,British Columbia,Chilcotin,
V0M,BC,British Columbia,Harrison Lake Region,
V0N,BC,British Columbia,North Island, Sunshine Coast, and Southern Gulf Islands,
V0P,BC,British Columbia,North Central Island and Bute Inlet Region,
V0R,BC,British Columbia,Central Island,
V0S,BC,British Columbia,Juan de Fuca Shore,
V0T,BC,British Columbia,Inside Passage and the Queen Charlottes,
V0V,BC,British Columbia,Lower Skeena,
V0W,BC,British Columbia,Atlin Region,
V0X,BC,British Columbia,Similkameen,
V1A,BC,British Columbia,Kimberley,
V1B,BC,British Columbia,Vernon,
V1C,BC,British Columbia,Cranbrook,
V1E,BC,British Columbia,Salmon Arm,
V1G,BC,British Columbia,Dawson Creek,
V1H,BC,British Columbia,Vernon,
V1J,BC,British Columbia,Fort St. John,
V1K,BC,British Columbia,Merritt,
V1L,BC,British Columbia,Nelson,
V1M,BC,British Columbia,Langley Township North,
V1N,BC,British Columbia,Castlegar,
V1P,BC,British Columbia,Kelowna,
V1R,BC,British Columbia,Trail,
V1S,BC,British Columbia,Kamloops Southwest,
V1T,BC,British Columbia,Vernon,
V1V,BC,British Columbia,Kelowna,
V1W,BC,British Columbia,Kelowna,
V1X,BC,British Columbia,Kelowna,
V1Y,BC,British Columbia,Kelowna,
V1Z,BC,British Columbia,Kelowna,
V2A,BC,British Columbia,Penticton,
V2B,BC,British Columbia,Kamloops,
V2C,BC,British Columbia,Kamloops,
V2E,BC,British Columbia,Kamloops,
V2G,BC,British Columbia,Williams Lake,
V2H,BC,British Columbia,Kamloops,
V2J,BC,British Columbia,Quesnel,
V2K,BC,British Columbia,Prince George,
V2L,BC,British Columbia,Prince George,
V2M,BC,British Columbia,Prince George,
V2N,BC,British Columbia,Prince George,
V2P,BC,British Columbia,Chilliwack,
V2R,BC,British Columbia,Chilliwack,
V2S,BC,British Columbia,Abbotsford,
V2T,BC,British Columbia,Abbotsford,
V2V,BC,British Columbia,Mission East,
V2W,BC,British Columbia,Maple Ridge,
V2X,BC,British Columbia,Maple Ridge,
V2Y,BC,British Columbia,Langley Township,
V2Z,BC,British Columbia,Langley Township,
V3A,BC,British Columbia,Langley City,
V3B,BC,British Columbia,Port Coquitlam,
V3C,BC,British Columbia,Port Coquitlam,
V3E,BC,British Columbia,Port Coquitlam,
V3G,BC,British Columbia,Abbotsford East,
